,Question number,UserID,answer,certainty
0,24,tonton,yes,0
1,24,tonton,yes,20
0,24,tonton,yes,0
1,24,tonton,yes,20
0,24,tonton,yes,0
1,24,tonton,yes,20
0,24,tonton,yes,0
1,24,tonton,yes,20
0,24,tonton,yes,0
1,24,tonton,yes,20
0,24,tonton,yes,0
1,24,tonton,yes,20
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
4,36,tonton,a,61
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
4,36,tonton,a,61
5,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
4,36,tonton,a,61
5,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
6,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
4,36,tonton,a,61
5,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
6,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
7,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
4,36,tonton,a,61
5,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
6,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
7,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
8,20,Anton,"The representation of each number is unique, no digits for leading zeros,  the mantissa always starts as a 1 so we can save a bit",74
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
4,36,tonton,a,61
5,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
6,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
7,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
8,20,Anton,"The representation of each number is unique, no digits for leading zeros,  the mantissa always starts as a 1 so we can save a bit",74
9,38,Anton,0.1,90
0,24,tonton,yes,0
1,24,tonton,yes,20
2,17,tonton,Underflow,70
3,36,tonton,False,78
4,36,tonton,a,61
5,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
6,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
7,33,tonton,"absolute error = guess-truth, relative error = (guess-truth)/truth",76
8,20,Anton,"The representation of each number is unique, no digits for leading zeros,  the mantissa always starts as a 1 so we can save a bit",74
9,38,Anton,0.1,90
10,5,Anton,True,85
